C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S0_proc_Service_req3.json - _0_0_0_0_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S1_proc_Service_req3.json - _0_0_0_0_0_2_0
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S2_proc_Service_req3.json - _0_0_0_0_0_1_0
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S3_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S4_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S5_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S6_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S7_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S8_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S9_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S10_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S11_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S12_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S13_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S14_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S15_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S16_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S17_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S18_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S19_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S20_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S21_proc_Service_req3.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ABPMN\Entrevistas-LLM-novas\proc_Service_req3\S22_proc_Service_req3.json - GENERATION FAIL
